id,diseaseIds,isInMembrane,locations_clean
ENSG00000151893,['MONDO_0007254'],0,Nucleoplasm
ENSG00000163288,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane"
ENSG00000246223,['MONDO_0007254'],,No location data
ENSG00000080224,['MONDO_0007254' 'MONDO_0007254'],0,"Membrane,Nucleoplasm"
ENSG00000163083,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000186297,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane,Plasma membrane,Nucleoplasm"
ENSG00000168785,['MONDO_0007254'],1,"Cell membrane,Actin filaments,Plasma membrane,Nucleoplasm"
ENSG00000198791,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nuclear bodies"
ENSG00000166823,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nucleoli"
ENSG00000196876,['MONDO_0007254'],1,"Cell membrane,Cell projection,[Isoform 5]: Cytoplasmic vesicle,Plasma membrane,Cell Junctions,Vesicles"
ENSG00000228253,['MONDO_0007254'],0,Mitochondrion membrane
ENSG00000250366,['MONDO_0007254'],0,"Endoplasmic reticulum membrane,Extracellular vesicle membrane"
ENSG00000126883,['MONDO_0007254'],0,Nucleus
ENSG00000277258,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000225968,['MONDO_0007254'],0,"Membrane,Cell projection,Cell Junctions,Nucleoplasm"
ENSG00000120616,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm,Nuclear bodies,Nucleoli"
ENSG00000148377,['MONDO_0007254'],0,"Peroxisome,Vesicles"
ENSG00000152270,['MONDO_0007254'],0,"Membrane,Endoplasmic reticulum"
ENSG00000143816,['MONDO_0007254'],0,Secreted
ENSG00000008517,['MONDO_0007254'],0,Secreted
ENSG00000229558,['MONDO_0007254'],,No location data
ENSG00000010319,['MONDO_0007254'],0,Secreted
ENSG00000104313,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Nuclear bodies,Nucleoplasm"
ENSG00000177519,['MONDO_0007254'],0,Cytoplasm
ENSG00000161055,['MONDO_0007254'],0,Secreted
ENSG00000178732,['MONDO_0007254'],0,"Membrane,Cytosol"
ENSG00000133124,['MONDO_0007254'],1,Cell membrane
ENSG00000104889,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Cytosol"
ENSG00000102878,['MONDO_0007254'],0,"Nucleus,Nuclear speckles"
ENSG00000183773,['MONDO_0007254'],0,"Mitochondrion,Mitochondria"
ENSG00000109674,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm"
ENSG00000106952,['MONDO_0007254'],0,Membrane
ENSG00000233608,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm,Nucleoli"
ENSG00000080854,['MONDO_0007254'],0,"Postsynaptic cell membrane,Cell Junctions,Golgi apparatus"
ENSG00000158014,['MONDO_0007254'],0,"[Isoform 1]: Cytoplasmic vesicle,Zymogen granule membrane,Endosome membrane,Lysosome membrane,Mitochondrion inner membrane,[Isoform 2]: Cell membrane,Vesicles"
ENSG00000125845,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000182379,['MONDO_0007254'],0,Secreted
ENSG00000279050,['MONDO_0007254'],,No location data
ENSG00000115602,['MONDO_0007254'],1,"[Isoform C]: Cell membrane,[Isoform B]: Secreted,Cell membrane,Plasma membrane,Cytosol,Focal adhesion sites,Predicted to be secreted"
ENSG00000173530,['MONDO_0007254'],1,"Membrane,Actin filaments,Plasma membrane"
ENSG00000161649,['MONDO_0007254'],1,"Apical cell membrane,Basolateral cell membrane,Endosome"
ENSG00000206561,['MONDO_0007254'],1,"Synapse,Plasma membrane,Cell Junctions,Predicted to be secreted"
ENSG00000241684,['MONDO_0007254'],,No location data
ENSG00000184845,['MONDO_0007254'],1,"Cell membrane,Endoplasmic reticulum membrane,Cell projection,Plasma membrane,Cytosol"
ENSG00000229637,['MONDO_0007254'],0,Nucleus
ENSG00000230838,['MONDO_0007254'],,No location data
ENSG00000248859,['MONDO_0007254'],,No location data
ENSG00000132964,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000111186,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000172461,['MONDO_0007254'],0,"Golgi apparatus,Golgi apparatus membrane,Nucleoplasm,Cytokinetic bridge,Cytosol,Microtubules"
ENSG00000104044,['MONDO_0007254'],1,"Melanosome membrane,Plasma membrane,Cytosol"
ENSG00000168936,['MONDO_0007254'],0,Endoplasmic reticulum membrane
ENSG00000104059,['MONDO_0007254'],0,"Membrane,Nucleoplasm"
ENSG00000198734,['MONDO_0007254'],0,"Secreted,Golgi apparatus,Predicted to be secreted"
ENSG00000110324,['MONDO_0007254'],1,"Cell membrane,Cytoplasm,Plasma membrane,Cytosol"
ENSG00000227124,['MONDO_0007254'],1,"Nucleus,Nuclear bodies,Nucleoplasm,Plasma membrane"
ENSG00000152457,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Golgi apparatus"
ENSG00000166407,['MONDO_0007254'],0,Nucleus
ENSG00000143196,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000167074,['MONDO_0007254'],0,Nucleus
ENSG00000085382,['MONDO_0007254'],0,"Golgi apparatus,Cytoplasm,Endoplasmic reticulum,Endoplasmic reticulum,Nuclear bodies"
ENSG00000120937,['MONDO_0007254'],0,"[NT-proBNP]: Secreted,[proBNP(3-108)]: Secreted,[Brain natriuretic peptide 32]: Secreted,[BNP(3-32)]: Secreted,Vesicles,Cytosol,Predicted to be secreted"
ENSG00000249917,['MONDO_0007254'],,No location data
ENSG00000206384,['MONDO_0007254'],0,Secreted
ENSG00000133740,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Nucleoli,Vesicles"
ENSG00000174306,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000148704,['MONDO_0007254'],0,"Nucleus,Nucleoli rim,Nucleoplasm"
ENSG00000156427,['MONDO_0007254'],0,Secreted
ENSG00000156509,['MONDO_0007254'],,No location data
ENSG00000271447,['MONDO_0007254'],0,Secreted
ENSG00000108001,['MONDO_0007254'],0,"Nucleus,Nucleoplasm,Vesicles"
ENSG00000167977,['MONDO_0007254'],0,"Cytoplasm,Nucleus"
ENSG00000169618,['MONDO_0007254'],1,Cell membrane
ENSG00000113263,['MONDO_0007254' 'MONDO_0007254'],1,"Cytoplasm,Nucleus,Cytosol"
ENSG00000174038,['MONDO_0007254'],0,Mitochondria
ENSG00000103510,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm"
ENSG00000156925,['MONDO_0007254'],0,"Nucleus,Cytoplasm,Nucleoplasm"
ENSG00000169194,['MONDO_0007254'],0,Secreted
ENSG00000166342,['MONDO_0007254'],0,"[Isoform 2]: Cell membrane,Postsynaptic density membrane,[Isoform 3]: Cell membrane,[Isoform 1]: Secreted,Golgi apparatus,Predicted to be secreted"
ENSG00000197992,['MONDO_0007254'],0,Membrane
ENSG00000251442,['MONDO_0007254'],,No location data
ENSG00000148482,['MONDO_0007254'],0,Membrane
ENSG00000233016,['MONDO_0007254'],,No location data
ENSG00000169442,['MONDO_0007254'],1,Cell membrane
ENSG00000172139,['MONDO_0007254'],0,Cell projection
ENSG00000145451,['MONDO_0007254'],1,"Postsynaptic cell membrane,Cell projection,Synapse,Cell membrane,Plasma membrane,Vesicles"
ENSG00000147082,['MONDO_0007254'],0,"Nucleus,Nuclear speckles"
ENSG00000240520,['MONDO_0007254'],,No location data
ENSG00000167984,['MONDO_0007254'],0,"Cytoplasm,Cytosol,Centriolar satellite,Vesicles"
ENSG00000165269,['MONDO_0007254'],1,"Cell membrane,Cytoplasm,Cytoplasmic vesicle membrane,Lipid droplet"
ENSG00000117425,['MONDO_0007254'],1,"Membrane,Plasma membrane,Nucleoli"
ENSG00000116521,['MONDO_0007254'],0,"Membrane,Vesicles"
ENSG00000135976,['MONDO_0007254'],0,"Cytosol,Nucleoplasm"
ENSG00000100911,['MONDO_0007254'],0,Nucleoplasm
ENSG00000226856,['MONDO_0007254'],,No location data
ENSG00000197959,['MONDO_0007254'],0,"Cytoplasm,Golgi apparatus"
ENSG00000151012,['MONDO_0007254'],0,"Cell membrane,Cell projection,Vesicles"
ENSG00000122176,['MONDO_0007254'],0,Secreted
ENSG00000246430,['MONDO_0007254'],,No location data
ENSG00000258366,['MONDO_0007254'],0,"Nucleus,Nuclear speckles,Nuclear membrane,Nucleoplasm"
ENSG00000116473,['MONDO_0007254'],1,"Cell membrane,Cytoplasm,Early endosome"
ENSG00000204610,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Cell junction,Cytosol,Centriolar satellite"
ENSG00000259156,['MONDO_0007254'],,No location data
ENSG00000176204,['MONDO_0007254'],1,"Cell membrane,Postsynaptic cell membrane"
ENSG00000196917,['MONDO_0007254'],1,Cell membrane
ENSG00000143878,['MONDO_0007254'],1,"Late endosome membrane,Cell membrane,Nucleus,Cleavage furrow"
ENSG00000187266,['MONDO_0007254' 'MONDO_0007254'],1,"Cell membrane,[Isoform EPOR-S]: Secreted,Plasma membrane,Nuclear speckles"
ENSG00000138741,['MONDO_0007254'],1,Cell membrane
ENSG00000202566,['MONDO_0007254'],,No location data
ENSG00000162976,['MONDO_0007254'],0,"Membrane,Cytosol"
ENSG00000233521,['MONDO_0007254'],,No location data
ENSG00000249669,['MONDO_0007254'],,No location data
ENSG00000142627,['MONDO_0007254' 'MONDO_0007254'],1,"Cell membrane,Cell projection,Cell junction,Cell Junctions,Plasma membrane,Golgi apparatus,Nuclear speckles"
ENSG00000099910,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Cytokinetic bridge,Microtubules,Mitotic spindle,Vesicles"
ENSG00000187720,['EFO_0009782' 'MONDO_0007254'],0,Secreted
ENSG00000242366,['MONDO_0007254'],0,Endoplasmic reticulum membrane
ENSG00000112309,['MONDO_0007254'],0,Golgi apparatus membrane
ENSG00000212907,['MONDO_0007254' 'MONDO_0007254'],0,"Mitochondrion inner membrane,Mitochondria,Centrosome,Cytosol"
ENSG00000167461,['MONDO_0007254'],1,"Cell membrane,Golgi apparatus,Recycling endosome membrane,Cell projection,Cytoplasmic vesicle,Cytoplasm,Midbody,Nucleoplasm,Nucleoli,Plasma membrane"
ENSG00000133142,['MONDO_0007254'],0,Nucleus
ENSG00000159110,['MONDO_0007254'],1,"[Isoform 1]: Cell membrane,[Isoform 2]: Cell membrane,[Isoform 3]: Secreted"
ENSG00000185432,['MONDO_0007254'],0,"Lipid droplet,Endoplasmic reticulum,Membrane,Lipid droplets"
ENSG00000254709,['MONDO_0007254'],0,Secreted
ENSG00000154342,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000160588,['MONDO_0007254'],0,"Membrane,Golgi apparatus"
ENSG00000075420,['MONDO_0007254'],0,"Membrane,Endoplasmic reticulum"
ENSG00000143919,['MONDO_0007254'],0,"[Isoform 1]: Cytoplasm,[Isoform 2]: Golgi apparatus,Nucleoplasm"
ENSG00000179101,['MONDO_0007254'],,No location data
ENSG00000205221,['MONDO_0007254'],0,Secreted
ENSG00000280997,['MONDO_0007254'],,No location data
ENSG00000105428,['MONDO_0007254'],0,Endoplasmic reticulum membrane
ENSG00000138798,['MONDO_0007254'],0,Membrane
ENSG00000249231,['MONDO_0007254'],,No location data
ENSG00000168505,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000168032,['MONDO_0007254'],1,Cell membrane
ENSG00000233818,['MONDO_0007254'],,No location data
ENSG00000132429,['MONDO_0007254'],0,"Membrane,Cytosol,Nucleoli"
ENSG00000258441,['MONDO_0007254'],,No location data
ENSG00000171889,['MONDO_0007254'],,No location data
ENSG00000174442,['MONDO_0007254'],0,Chromosome
ENSG00000285972,['MONDO_0007254'],,No location data
ENSG00000177426,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000149654,['MONDO_0007254'],1,Cell membrane
ENSG00000115461,['MONDO_0007254' 'MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000160224,['MONDO_0007254'],0,"Nucleus,Cytoplasm"
ENSG00000181374,['MONDO_0007254'],0,Secreted
ENSG00000152580,['MONDO_0007254'],0,"Secreted,Vesicles,Predicted to be secreted"
ENSG00000148842,['MONDO_0007254'],0,"Cell membrane,Vesicles"
ENSG00000198785,['MONDO_0007254'],1,"Cell membrane,Postsynaptic cell membrane"
ENSG00000133105,['MONDO_0007254'],1,Cell membrane
ENSG00000004838,['MONDO_0007254'],1,"Cytoplasm,Apical cell membrane,Dynein axonemal particle,Plasma membrane,Cytosol"
ENSG00000075886,['MONDO_0007254'],0,"Cytoplasm,Microtubules"
ENSG00000119138,['MONDO_0007254'],1,"Nucleus,Nucleoplasm,Cytosol,Plasma membrane"
ENSG00000241566,['MONDO_0007254'],1,"Secreted,Cell membrane"
ENSG00000207607,['MONDO_0007254'],,No location data
ENSG00000113327,['MONDO_0007254' 'MONDO_0007254'],1,"Postsynaptic cell membrane,Cell membrane,Cell projection,Cytoplasmic vesicle membrane"
ENSG00000118495,['MONDO_0007254'],0,"Nucleus,Nuclear bodies,Golgi apparatus,Vesicles"
ENSG00000113318,['MONDO_0007254'],0,Nuclear bodies
ENSG00000182165,['MONDO_0007254'],,No location data
ENSG00000130844,['MONDO_0007254'],0,"Nucleus,Nucleoplasm"
ENSG00000138039,['MONDO_0007254' 'MONDO_0007254'],1,"Cell membrane,Plasma membrane,Centriolar satellite"
ENSG00000266714,['MONDO_0007254'],0,"Cytoplasm,Cytosol"
ENSG00000198355,['MONDO_0007254'],0,"Cytoplasm,Cytosol"
ENSG00000168418,['MONDO_0007254'],1,"Cell membrane,Plasma membrane,Nucleoplasm"
ENSG00000185483,['MONDO_0007254'],0,"Membrane,Cell projection"
ENSG00000254369,['MONDO_0007254'],,No location data
ENSG00000162576,['MONDO_0007254'],0,"Cell membrane,Cell junction,Cytoplasm,Cell projection,Nucleoli"
ENSG00000213401,['MONDO_0007254'],,No location data
ENSG00000241721,['MONDO_0007254'],0,Nucleus
ENSG00000156970,['MONDO_0007254'],0,"Cytoplasm,Nucleus,Chromosome,Cytosol"
ENSG00000177133,['MONDO_0007254'],,No location data
ENSG00000160973,['MONDO_0007254'],0,Nucleus
ENSG00000159248,['MONDO_0007254'],1,"Cell membrane,Cell junction"
ENSG00000212296,['MONDO_0007254'],,No location data
ENSG00000140612,['MONDO_0007254'],0,"Endoplasmic reticulum membrane,Nuclear membrane,Golgi apparatus"
ENSG00000175691,['MONDO_0007254'],0,"Nucleus,Nucleoli,Nucleoplasm"
ENSG00000119048,['MONDO_0007254'],1,"Cell membrane,Nucleus,Nucleoplasm,Plasma membrane,Cytosol,Vesicles"
ENSG00000051341,['MONDO_0007254'],0,"Nucleus,Chromosome,Nucleoplasm,Cytosol,Golgi apparatus"
ENSG00000169469,['MONDO_0007254'],0,Cytoplasm
ENSG00000250742,['MONDO_0007254'],,No location data
